seed,lambda,mu
0,463360,2218727
1,847056,123966
2,463360,23729
3,151952,833245
4,463360,56859
5,151952,14360
6,847056,108963
7,463360,1489927
8,463360,1348471
9,847056,40025
10,463360,2076151
11,847056,277011
12,151952,510173
13,847056,389400
14,847056,198339
15,463360,1364615
16,463360,2218727
17,847056,123966
18,463360,23729
19,151952,833245
20,463360,56859
21,151952,14360
22,847056,108963
23,463360,1489927
24,463360,1348471
25,847056,40025
26,463360,2076151
27,847056,277011
28,151952,510173
29,847056,389400
30,847056,198339
31,463360,1364615
32,463360,2218727
33,847056,123966
34,463360,23729
35,151952,833245
36,463360,56859
37,151952,14360
38,847056,108963
39,463360,1489927
40,463360,1348471
41,847056,40025
42,463360,2076151
43,847056,277011
44,151952,510173
45,847056,389400
46,847056,198339
47,463360,1364615
48,463360,2218727
49,847056,123966
50,463360,23729
51,151952,833245
52,463360,56859
53,151952,14360
54,847056,108963
55,463360,1489927
56,463360,1348471
57,847056,40025
58,463360,2076151
59,847056,277011
60,151952,510173
61,847056,389400
62,847056,198339
63,463360,1364615
64,463360,2218727
65,847056,123966
66,463360,23729
67,151952,833245
68,463360,56859
69,151952,14360
70,847056,108963
71,463360,1489927
72,463360,1348471
73,847056,40025
74,463360,2076151
75,847056,277011
76,151952,510173
77,847056,389400
78,847056,198339
79,463360,1364615
80,463360,2218727
81,847056,123966
82,463360,23729
83,151952,833245
84,463360,56859
85,151952,14360
86,847056,108963
87,463360,1489927
88,463360,1348471
89,847056,40025
90,463360,2076151
91,847056,277011
92,151952,510173
93,847056,389400
94,847056,198339
95,463360,1364615
96,463360,2218727
97,847056,123966
98,463360,23729
99,151952,833245
100,463360,56859
101,151952,14360
102,847056,108963
103,463360,1489927
104,463360,1348471
105,847056,40025
106,463360,2076151
107,847056,277011
108,151952,510173
109,847056,389400
110,847056,198339
111,463360,1364615
112,463360,2218727
113,847056,123966
114,463360,23729
115,151952,833245
116,463360,56859
117,151952,14360
118,847056,108963
119,463360,1489927
120,463360,1348471
121,847056,40025
122,463360,2076151
123,847056,277011
124,151952,510173
125,847056,389400
126,847056,198339
127,463360,1364615
128,463360,2218727
129,847056,123966
130,463360,23729
131,151952,833245
132,463360,56859
133,151952,14360
134,847056,108963
135,463360,1489927
136,463360,1348471
137,847056,40025
138,463360,2076151
139,847056,277011
140,151952,510173
141,847056,389400
142,847056,198339
143,463360,1364615
144,463360,2218727
145,847056,123966
146,463360,23729
147,151952,833245
148,463360,56859
149,151952,14360
150,847056,108963
151,463360,1489927
152,463360,1348471
153,847056,40025
154,463360,2076151
155,847056,277011
156,151952,510173
157,847056,389400
158,847056,198339
159,463360,1364615
160,463360,2218727
161,847056,123966
162,463360,23729
163,151952,833245
164,463360,56859
165,151952,14360
166,847056,108963
167,463360,1489927
168,463360,1348471
169,847056,40025
170,463360,2076151
171,847056,277011
172,151952,510173
173,847056,389400
174,847056,198339
175,463360,1364615
176,463360,2218727
177,847056,123966
178,463360,23729
179,151952,833245
180,463360,56859
181,151952,14360
182,847056,108963
183,463360,1489927
184,463360,1348471
185,847056,40025
186,463360,2076151
187,847056,277011
188,151952,510173
189,847056,389400
190,847056,198339
191,463360,1364615
192,463360,2218727
193,847056,123966
194,463360,23729
195,151952,833245
196,463360,56859
197,151952,14360
198,847056,108963
199,463360,1489927
200,463360,1348471
201,847056,40025
202,463360,2076151
203,847056,277011
204,151952,510173
205,847056,389400
206,847056,198339
207,463360,1364615
208,463360,2218727
209,847056,123966
210,463360,23729
211,151952,833245
212,463360,56859
213,151952,14360
214,847056,108963
215,463360,1489927
216,463360,1348471
217,847056,40025
218,463360,2076151
219,847056,277011
220,151952,510173
221,847056,389400
222,847056,198339
223,463360,1364615
224,463360,2218727
225,847056,123966
226,463360,23729
227,151952,833245
228,463360,56859
229,151952,14360
230,847056,108963
231,463360,1489927
232,463360,1348471
233,847056,40025
234,463360,2076151
235,847056,277011
236,151952,510173
237,847056,389400
238,847056,198339
239,463360,1364615
240,463360,2218727
241,847056,123966
242,463360,23729
243,151952,833245
244,463360,56859
245,151952,14360
246,847056,108963
247,463360,1489927
248,463360,1348471
249,847056,40025
250,463360,2076151
251,847056,277011
252,151952,510173
253,847056,389400
254,847056,198339
255,463360,1364615
256,463360,2218727
257,847056,123966
258,463360,23729
259,151952,833245
260,463360,56859
261,151952,14360
262,847056,108963
263,463360,1489927
264,463360,1348471
265,847056,40025
266,463360,2076151
267,847056,277011
268,151952,510173
269,847056,389400
270,847056,198339
271,463360,1364615
272,463360,2218727
273,847056,123966
274,463360,23729
275,151952,833245
276,463360,56859
277,151952,14360
278,847056,108963
279,463360,1489927
280,463360,1348471
281,847056,40025
282,463360,2076151
283,847056,277011
284,151952,510173
285,847056,389400
286,847056,198339
287,463360,1364615
288,463360,2218727
289,847056,123966
290,463360,23729
291,151952,833245
292,463360,56859
293,151952,14360
294,847056,108963
295,463360,1489927
296,463360,1348471
297,847056,40025
298,463360,2076151
299,847056,277011
