seed,lambda,mu
0,64512,62405
1,64512,26821
2,64512,28535
3,27648,10818
4,64512,175813
5,64512,42871
6,64512,49349
7,64512,24386
8,64512,61381
9,64512,28571
10,64512,163781
11,64512,104389
12,64512,143813
13,64512,33733
14,64512,40823
15,64512,34971
16,64512,226245
17,64512,87195
18,64512,33477
19,64512,13723
20,64512,135877
21,27648,50604
22,64512,192709
23,64512,61637
24,64512,83653
25,64512,71365
26,64512,185797
27,64512,75931
28,27648,21420
29,64512,33435
30,27648,2732
31,64512,88261
32,64512,152517
33,64512,69317
34,27648,25516
35,64512,39490
36,64512,111557
37,64512,146885
38,64512,17307
39,64512,217285
40,64512,74949
41,64512,128709
42,64512,180165
43,64512,64709
44,64512,182981
45,64512,87451
46,27648,32940
47,64512,43973
48,64512,108997
49,64512,56987
50,64512,42181
51,64512,19867
52,64512,29893
53,64512,46277
54,64512,129989
55,27648,20396
56,64512,88261
57,64512,91589
58,64512,198085
59,64512,67269
60,27648,27820
61,64512,31685
62,64512,80581
63,64512,86725
64,64512,176325
65,64512,167877
66,64512,164293
67,64512,20635
68,64512,81349
69,64512,20123
70,64512,166597
71,64512,10553
72,64512,41413
73,64512,195269
74,3328,2705
75,64512,76741
76,64512,75675
77,64512,79515
78,64512,191685
79,64512,71621
80,64512,211653
81,64512,219077
82,64512,78021
83,64512,95429
84,64512,32709
85,64512,51867
86,64512,74139
87,64512,247749
88,64512,98971
89,64512,162757
90,64512,2757
91,64512,81605
92,64512,22213
93,64512,132549
94,64512,86981
95,64512,196293
96,64512,158661
97,64512,52379
98,64512,85957
99,64512,191
