seed,lambda,mu
0,15232,1
1,107328,2
2,107328,2
3,107328,1
4,68752,1
5,68752,1
6,15232,1
7,107328,1
8,107328,1
9,68752,1
10,107328,1
11,107328,1
12,107328,1
13,107328,2
14,107328,2
15,15232,1
16,15232,1
17,107328,2
18,107328,2
19,107328,1
20,68752,1
21,68752,1
22,15232,1
23,107328,1
24,107328,1
25,68752,1
26,107328,1
27,107328,1
28,107328,1
29,107328,2
30,107328,2
31,15232,1
32,15232,1
33,107328,2
34,107328,2
35,107328,1
36,68752,1
37,68752,1
38,15232,1
39,107328,1
40,107328,1
41,68752,1
42,107328,1
43,107328,1
44,107328,1
45,107328,2
46,107328,2
47,15232,1
48,15232,1
49,107328,2
50,107328,2
51,107328,1
52,68752,1
53,68752,1
54,15232,1
55,107328,1
56,107328,1
57,68752,1
58,107328,1
59,107328,1
60,107328,1
61,107328,2
62,107328,2
63,15232,1
64,15232,1
65,107328,2
66,107328,2
67,107328,1
68,68752,1
69,68752,1
70,15232,1
71,107328,1
72,107328,1
73,68752,1
74,107328,1
75,107328,1
76,107328,1
77,107328,2
78,107328,2
79,15232,1
80,15232,1
81,107328,2
82,107328,2
83,107328,1
84,68752,1
85,68752,1
86,15232,1
87,107328,1
88,107328,1
89,68752,1
90,107328,1
91,107328,1
92,107328,1
93,107328,2
94,107328,2
95,15232,1
96,15232,1
97,107328,2
98,107328,2
99,107328,1
100,68752,1
101,68752,1
102,15232,1
103,107328,1
104,107328,1
105,68752,1
106,107328,1
107,107328,1
108,107328,1
109,107328,2
110,107328,2
111,15232,1
112,15232,1
113,107328,2
114,107328,2
115,107328,1
116,68752,1
117,68752,1
118,15232,1
119,107328,1
120,107328,1
121,68752,1
122,107328,1
123,107328,1
124,107328,1
125,107328,2
126,107328,2
127,15232,1
128,15232,1
129,107328,2
130,107328,2
131,107328,1
132,68752,1
133,68752,1
134,15232,1
135,107328,1
136,107328,1
137,68752,1
138,107328,1
139,107328,1
140,107328,1
141,107328,2
142,107328,2
143,15232,1
144,15232,1
145,107328,2
146,107328,2
147,107328,1
148,68752,1
149,68752,1
150,15232,1
151,107328,1
152,107328,1
153,68752,1
154,107328,1
155,107328,1
156,107328,1
157,107328,2
158,107328,2
159,15232,1
160,15232,1
161,107328,2
162,107328,2
163,107328,1
164,68752,1
165,68752,1
166,15232,1
167,107328,1
168,107328,1
169,68752,1
170,107328,1
171,107328,1
172,107328,1
173,107328,2
174,107328,2
175,15232,1
176,15232,1
177,107328,2
178,107328,2
179,107328,1
180,68752,1
181,68752,1
182,15232,1
183,107328,1
184,107328,1
185,68752,1
186,107328,1
187,107328,1
188,107328,1
189,107328,2
190,107328,2
191,15232,1
192,15232,1
193,107328,2
194,107328,2
195,107328,1
196,68752,1
197,68752,1
198,15232,1
199,107328,1
200,107328,1
201,68752,1
202,107328,1
203,107328,1
204,107328,1
205,107328,2
206,107328,2
207,15232,1
208,15232,1
209,107328,2
210,107328,2
211,107328,1
212,68752,1
213,68752,1
214,15232,1
215,107328,1
216,107328,1
217,68752,1
218,107328,1
219,107328,1
220,107328,1
221,107328,2
222,107328,2
223,15232,1
224,15232,1
225,107328,2
226,107328,2
227,107328,1
228,68752,1
229,68752,1
230,15232,1
231,107328,1
232,107328,1
233,68752,1
234,107328,1
235,107328,1
236,107328,1
237,107328,2
238,107328,2
239,15232,1
240,15232,1
241,107328,2
242,107328,2
243,107328,1
244,68752,1
245,68752,1
246,15232,1
247,107328,1
248,107328,1
249,68752,1
250,107328,1
251,107328,1
252,107328,1
253,107328,2
254,107328,2
255,15232,1
256,15232,1
257,107328,2
258,107328,2
259,107328,1
260,68752,1
261,68752,1
262,15232,1
263,107328,1
264,107328,1
265,68752,1
266,107328,1
267,107328,1
268,107328,1
269,107328,2
270,107328,2
271,15232,1
272,15232,1
273,107328,2
274,107328,2
275,107328,1
276,68752,1
277,68752,1
278,15232,1
279,107328,1
280,107328,1
281,68752,1
282,107328,1
283,107328,1
284,107328,1
285,107328,2
286,107328,2
287,15232,1
288,15232,1
289,107328,2
290,107328,2
291,107328,1
292,68752,1
293,68752,1
294,15232,1
295,107328,1
296,107328,1
297,68752,1
298,107328,1
299,107328,1
