seed,lambda,mu
0,6318640,3841057
1,6318640,5053473
2,6318640,6139633
3,6318640,4841457
4,6318640,5851873
5,6318640,4362321
6,6318640,2598917
7,6318640,2555649
8,6318640,938229
9,6318640,1910919
10,6318640,7123137
11,6318640,4700849
12,6318640,6667665
13,6318640,5533585
14,6318640,4109857
15,6318640,5102497
16,6318640,3841057
17,6318640,5053473
18,6318640,6139633
19,6318640,4841457
20,6318640,5851873
21,6318640,4362321
22,6318640,2598917
23,6318640,2555649
24,6318640,938229
25,6318640,1910919
26,6318640,7123137
27,6318640,4700849
28,6318640,6667665
29,6318640,5533585
30,6318640,4109857
31,6318640,5102497
32,6318640,3841057
33,6318640,5053473
34,6318640,6139633
35,6318640,4841457
36,6318640,5851873
37,6318640,4362321
38,6318640,2598917
39,6318640,2555649
40,6318640,938229
41,6318640,1910919
42,6318640,7123137
43,6318640,4700849
44,6318640,6667665
45,6318640,5533585
46,6318640,4109857
47,6318640,5102497
48,6318640,3841057
49,6318640,5053473
