seed,lambda,mu
0,412672,1067860
1,990464,1996874
2,990464,1827402
3,412672,1202772
4,990464,3340106
5,990464,3073354
6,990464,4241482
7,990464,1124682
8,990464,4254282
9,990464,1046858
10,412672,318548
11,990464,3149386
12,83200,864883
13,990464,159592
14,990464,3964746
15,990464,2371402
16,412672,509524
17,164864,240017
18,412672,443476
19,990464,3936074
20,990464,4683338
21,990464,3095626
22,83200,989811
23,990464,3903818
24,990464,2888010
25,990464,2045514
26,259328,52439
27,990464,4180042
28,990464,2068298
29,164864,422545
30,990464,1726282
31,990464,570408
32,990464,4646474
33,990464,3700554
34,990464,2982730
35,990464,784202
36,990464,297576
37,990464,1582666
38,83200,703859
39,990464,1302090
40,990464,3778122
41,990464,368192
42,990464,1793866
43,990464,4053834
44,990464,2855754
45,83200,1051507
46,990464,515624
47,990464,1271626
48,990464,4291914
49,990464,119934
50,990464,3483210
51,990464,3545674
52,990464,1264831
53,990464,3712842
54,990464,3403338
55,990464,4281674
56,990464,3377226
57,990464,4435018
58,990464,1202506
59,990464,3926858
60,990464,4255306
61,990464,1861962
62,990464,2530890
63,990464,3664970
64,990464,2041674
65,990464,4796746
66,990464,2541642
67,990464,4011082
68,990464,1089983
69,990464,4548682
70,990464,83541
71,990464,1516106
72,990464,3970634
73,990464,776639
74,990464,1859658
75,412672,900436
76,990464,2202186
77,164864,421521
78,990464,2107210
79,990464,4026698
80,164864,255633
81,990464,4176202
82,990464,2234442
83,412672,421972
84,412672,90276
85,990464,961354
86,990464,4575562
87,990464,4142410
88,990464,3678282
89,83200,1336947
90,990464,2194506
91,990464,1892426
92,990464,4319306
93,990464,1270602
94,412672,237290
95,990464,4444234
96,990464,2198858
97,412672,1131092
98,990464,4511050
99,990464,1372490
100,990464,4063818
101,990464,1322826
102,990464,3567690
103,990464,572712
104,990464,2112586
105,412672,783700
106,990464,4392522
107,990464,2063434
108,83200,1362291
109,83200,66931
110,990464,1437002
111,990464,1763146
112,990464,2088522
113,990464,3611210
114,990464,330048
115,259328,84439
116,990464,2265162
117,990464,3891786
118,990464,3910986
119,990464,1563978
120,990464,1350474
121,990464,3933258
122,990464,3761226
123,990464,446504
124,990464,3713098
125,990464,3129930
126,990464,3325002
127,990464,3329866
128,990464,4275018
129,990464,2360394
130,83200,781683
131,990464,876584
132,990464,1124426
133,990464,3663178
134,990464,4458314
135,990464,1247306
136,990464,3904586
137,990464,3250250
138,990464,3904586
139,990464,1028392
140,990464,1456458
141,990464,4029770
142,990464,1880394
143,412672,25332
144,990464,1204042
145,990464,1177162
146,990464,272714
147,990464,4129610
148,990464,3565386
149,990464,1482314
150,412672,469588
151,990464,3651146
152,990464,410698
153,990464,4532810
154,990464,4128586
155,412672,1055316
156,990464,4322634
157,83200,1043571
158,990464,1248586
159,83200,1108339
160,990464,1601471
161,990464,2082378
162,83200,563571
163,990464,1101130
164,990464,3938378
165,412672,240724
166,990464,4169546
167,412672,80434
168,83200,809587
169,990464,1413706
170,990464,2802762
171,990464,1541194
172,990464,2323018
173,990464,4024394
174,990464,4009546
175,990464,4076618
176,990464,964904
177,990464,1832266
178,990464,3977546
179,990464,1682506
180,990464,2297674
181,990464,2301770
182,990464,3676234
183,990464,59849
184,164864,423313
185,990464,2741834
186,990464,4323402
187,990464,2118218
188,990464,2330954
189,83200,680051
190,990464,4117322
191,990464,419112
192,990464,4070218
193,990464,847434
194,990464,762176
195,990464,1462602
196,990464,549160
197,83200,783475
198,990464,4185418
199,990464,875594
200,990464,3761226
201,990464,4017994
202,83200,936307
203,990464,3801674
204,990464,4406090
205,990464,3491146
206,990464,3938634
207,990464,1706314
208,83200,451955
209,83200,1512819
210,83200,1706867
211,990464,2923594
212,990464,4186698
213,990464,954954
214,990464,2353482
215,990464,965194
216,990464,2182986
217,990464,3803210
218,83200,1299571
219,83200,145267
220,990464,3237450
221,83200,925043
222,990464,1997898
223,990464,4004682
224,990464,4138058
225,990464,3571018
226,990464,3275594
227,990464,2489930
228,990464,1013544
229,990464,923466
230,990464,4329034
231,990464,1150538
232,990464,2932042
233,990464,2654538
234,990464,1699402
235,990464,4342090
236,990464,1802826
237,990464,2018122
238,990464,4087882
239,990464,4301130
240,990464,4377418
241,990464,925258
242,990464,3851082
243,990464,2769226
244,412672,695124
245,990464,1996362
246,83200,744563
247,990464,4503114
248,990464,1996106
249,990464,3467338
250,990464,4629578
251,990464,3597898
252,990464,4426314
253,164864,424849
254,990464,2290506
255,990464,2305354
256,412672,1067860
257,990464,1996874
258,990464,1827402
259,412672,1202772
260,990464,3340106
261,990464,3073354
262,990464,4241482
263,990464,1124682
264,990464,4254282
265,990464,1046858
266,412672,318548
267,990464,3149386
268,83200,864883
269,990464,159592
270,990464,3964746
271,990464,2371402
272,412672,509524
273,164864,240017
274,412672,443476
275,990464,3936074
276,990464,4683338
277,990464,3095626
278,83200,989811
279,990464,3903818
280,990464,2888010
281,990464,2045514
282,259328,52439
283,990464,4180042
284,990464,2068298
285,164864,422545
286,990464,1726282
287,990464,570408
288,990464,4646474
289,990464,3700554
290,990464,2982730
291,990464,784202
292,990464,297576
293,990464,1582666
294,83200,703859
295,990464,1302090
296,990464,3778122
297,990464,368192
298,990464,1793866
299,990464,4053834
