seed,lambda,mu
0,4448,2305
1,4448,817
2,4448,817
3,4448,1489
4,4448,1441
5,4448,833
6,4448,705
7,4448,880
8,4448,705
9,4448,2353
10,4448,596
11,4448,289
12,4448,451
13,4448,1457
14,4448,750
15,4448,612
16,4448,2305
17,4448,817
18,4448,817
19,4448,1489
20,4448,1441
21,4448,833
22,4448,705
23,4448,880
24,4448,705
25,4448,2353
26,4448,596
27,4448,289
28,4448,451
29,4448,1457
30,4448,750
31,4448,612
32,4448,2305
33,4448,817
34,4448,817
35,4448,1489
36,4448,1441
37,4448,833
38,4448,705
39,4448,880
40,4448,705
41,4448,2353
42,4448,596
43,4448,289
44,4448,451
45,4448,1457
46,4448,750
47,4448,612
48,4448,2305
49,4448,817
50,4448,817
51,4448,1489
52,4448,1441
53,4448,833
54,4448,705
55,4448,880
56,4448,705
57,4448,2353
58,4448,596
59,4448,289
60,4448,451
61,4448,1457
62,4448,750
63,4448,612
64,4448,2305
65,4448,817
66,4448,817
67,4448,1489
68,4448,1441
69,4448,833
70,4448,705
71,4448,880
72,4448,705
73,4448,2353
74,4448,596
75,4448,289
76,4448,451
77,4448,1457
78,4448,750
79,4448,612
80,4448,2305
81,4448,817
82,4448,817
83,4448,1489
84,4448,1441
85,4448,833
86,4448,705
87,4448,880
88,4448,705
89,4448,2353
90,4448,596
91,4448,289
92,4448,451
93,4448,1457
94,4448,750
95,4448,612
96,4448,2305
97,4448,817
98,4448,817
99,4448,1489
100,4448,1441
101,4448,833
102,4448,705
103,4448,880
104,4448,705
105,4448,2353
106,4448,596
107,4448,289
108,4448,451
109,4448,1457
110,4448,750
111,4448,612
112,4448,2305
113,4448,817
114,4448,817
115,4448,1489
116,4448,1441
117,4448,833
118,4448,705
119,4448,880
120,4448,705
121,4448,2353
122,4448,596
123,4448,289
124,4448,451
125,4448,1457
126,4448,750
127,4448,612
128,4448,2305
129,4448,817
130,4448,817
131,4448,1489
132,4448,1441
133,4448,833
134,4448,705
135,4448,880
136,4448,705
137,4448,2353
138,4448,596
139,4448,289
140,4448,451
141,4448,1457
142,4448,750
143,4448,612
144,4448,2305
145,4448,817
146,4448,817
147,4448,1489
148,4448,1441
149,4448,833
150,4448,705
151,4448,880
152,4448,705
153,4448,2353
154,4448,596
155,4448,289
156,4448,451
157,4448,1457
158,4448,750
159,4448,612
160,4448,2305
161,4448,817
162,4448,817
163,4448,1489
164,4448,1441
165,4448,833
166,4448,705
167,4448,880
168,4448,705
169,4448,2353
170,4448,596
171,4448,289
172,4448,451
173,4448,1457
174,4448,750
175,4448,612
176,4448,2305
177,4448,817
178,4448,817
179,4448,1489
180,4448,1441
181,4448,833
182,4448,705
183,4448,880
184,4448,705
185,4448,2353
186,4448,596
187,4448,289
188,4448,451
189,4448,1457
190,4448,750
191,4448,612
192,4448,2305
193,4448,817
194,4448,817
195,4448,1489
196,4448,1441
197,4448,833
198,4448,705
199,4448,880
200,4448,705
201,4448,2353
202,4448,596
203,4448,289
204,4448,451
205,4448,1457
206,4448,750
207,4448,612
208,4448,2305
209,4448,817
210,4448,817
211,4448,1489
212,4448,1441
213,4448,833
214,4448,705
215,4448,880
216,4448,705
217,4448,2353
218,4448,596
219,4448,289
220,4448,451
221,4448,1457
222,4448,750
223,4448,612
224,4448,2305
225,4448,817
226,4448,817
227,4448,1489
228,4448,1441
229,4448,833
230,4448,705
231,4448,880
232,4448,705
233,4448,2353
234,4448,596
235,4448,289
236,4448,451
237,4448,1457
238,4448,750
239,4448,612
240,4448,2305
241,4448,817
242,4448,817
243,4448,1489
244,4448,1441
245,4448,833
246,4448,705
247,4448,880
248,4448,705
249,4448,2353
250,4448,596
251,4448,289
252,4448,451
253,4448,1457
254,4448,750
255,4448,612
256,4448,2305
257,4448,817
258,4448,817
259,4448,1489
260,4448,1441
261,4448,833
262,4448,705
263,4448,880
264,4448,705
265,4448,2353
266,4448,596
267,4448,289
268,4448,451
269,4448,1457
270,4448,750
271,4448,612
272,4448,2305
273,4448,817
274,4448,817
275,4448,1489
276,4448,1441
277,4448,833
278,4448,705
279,4448,880
280,4448,705
281,4448,2353
282,4448,596
283,4448,289
284,4448,451
285,4448,1457
286,4448,750
287,4448,612
288,4448,2305
289,4448,817
290,4448,817
291,4448,1489
292,4448,1441
293,4448,833
294,4448,705
295,4448,880
296,4448,705
297,4448,2353
298,4448,596
299,4448,289
