seed,lambda,mu
0,4992,496
1,128,683
2,128,1739
3,4992,1735
4,4992,3271
5,912,2696
6,4992,688
7,912,2408
8,128,1421
9,4992,3369
10,4992,473
11,4992,2713
12,4992,2441
13,128,1371
14,912,1256
15,4992,1078
16,4992,496
17,128,683
18,128,1739
19,4992,1735
20,4992,3271
21,912,2696
22,4992,688
23,912,2408
24,128,1421
25,4992,3369
26,4992,473
27,4992,2713
28,4992,2441
29,128,1371
30,912,1256
31,4992,1078
32,4992,496
33,128,683
34,128,1739
35,4992,1735
36,4992,3271
37,912,2696
38,4992,688
39,912,2408
40,128,1421
41,4992,3369
42,4992,473
43,4992,2713
44,4992,2441
45,128,1371
46,912,1256
47,4992,1078
48,4992,496
49,128,683
