seed,lambda,mu
0,6318640,3841057
1,6318640,5053473
2,6318640,6139633
3,6318640,4841457
4,6318640,5851873
5,6318640,4362321
6,6318640,2598917
7,6318640,2555649
8,6318640,938229
9,6318640,1910919
10,6318640,7123137
11,6318640,4700849
12,6318640,6667665
13,6318640,5533585
14,6318640,4109857
15,6318640,5102497
16,6318640,3841057
17,6318640,5053473
18,6318640,6139633
19,6318640,4841457
20,6318640,5851873
21,6318640,4362321
22,6318640,2598917
23,6318640,2555649
24,6318640,938229
25,6318640,1910919
26,6318640,7123137
27,6318640,4700849
28,6318640,6667665
29,6318640,5533585
30,6318640,4109857
31,6318640,5102497
32,6318640,3841057
33,6318640,5053473
34,6318640,6139633
35,6318640,4841457
36,6318640,5851873
37,6318640,4362321
38,6318640,2598917
39,6318640,2555649
40,6318640,938229
41,6318640,1910919
42,6318640,7123137
43,6318640,4700849
44,6318640,6667665
45,6318640,5533585
46,6318640,4109857
47,6318640,5102497
48,6318640,3841057
49,6318640,5053473
50,6318640,6139633
51,6318640,4841457
52,6318640,5851873
53,6318640,4362321
54,6318640,2598917
55,6318640,2555649
56,6318640,938229
57,6318640,1910919
58,6318640,7123137
59,6318640,4700849
60,6318640,6667665
61,6318640,5533585
62,6318640,4109857
63,6318640,5102497
64,6318640,3841057
65,6318640,5053473
66,6318640,6139633
67,6318640,4841457
68,6318640,5851873
69,6318640,4362321
70,6318640,2598917
71,6318640,2555649
72,6318640,938229
73,6318640,1910919
74,6318640,7123137
75,6318640,4700849
76,6318640,6667665
77,6318640,5533585
78,6318640,4109857
79,6318640,5102497
80,6318640,3841057
81,6318640,5053473
82,6318640,6139633
83,6318640,4841457
84,6318640,5851873
85,6318640,4362321
86,6318640,2598917
87,6318640,2555649
88,6318640,938229
89,6318640,1910919
90,6318640,7123137
91,6318640,4700849
92,6318640,6667665
93,6318640,5533585
94,6318640,4109857
95,6318640,5102497
96,6318640,3841057
97,6318640,5053473
98,6318640,6139633
99,6318640,4841457
100,6318640,5851873
101,6318640,4362321
102,6318640,2598917
103,6318640,2555649
104,6318640,938229
105,6318640,1910919
106,6318640,7123137
107,6318640,4700849
108,6318640,6667665
109,6318640,5533585
110,6318640,4109857
111,6318640,5102497
112,6318640,3841057
113,6318640,5053473
114,6318640,6139633
115,6318640,4841457
116,6318640,5851873
117,6318640,4362321
118,6318640,2598917
119,6318640,2555649
120,6318640,938229
121,6318640,1910919
122,6318640,7123137
123,6318640,4700849
124,6318640,6667665
125,6318640,5533585
126,6318640,4109857
127,6318640,5102497
128,6318640,3841057
129,6318640,5053473
130,6318640,6139633
131,6318640,4841457
132,6318640,5851873
133,6318640,4362321
134,6318640,2598917
135,6318640,2555649
136,6318640,938229
137,6318640,1910919
138,6318640,7123137
139,6318640,4700849
140,6318640,6667665
141,6318640,5533585
142,6318640,4109857
143,6318640,5102497
144,6318640,3841057
145,6318640,5053473
146,6318640,6139633
147,6318640,4841457
148,6318640,5851873
149,6318640,4362321
150,6318640,2598917
151,6318640,2555649
152,6318640,938229
153,6318640,1910919
154,6318640,7123137
155,6318640,4700849
156,6318640,6667665
157,6318640,5533585
158,6318640,4109857
159,6318640,5102497
160,6318640,3841057
161,6318640,5053473
162,6318640,6139633
163,6318640,4841457
164,6318640,5851873
165,6318640,4362321
166,6318640,2598917
167,6318640,2555649
168,6318640,938229
169,6318640,1910919
170,6318640,7123137
171,6318640,4700849
172,6318640,6667665
173,6318640,5533585
174,6318640,4109857
175,6318640,5102497
176,6318640,3841057
177,6318640,5053473
178,6318640,6139633
179,6318640,4841457
180,6318640,5851873
181,6318640,4362321
182,6318640,2598917
183,6318640,2555649
184,6318640,938229
185,6318640,1910919
186,6318640,7123137
187,6318640,4700849
188,6318640,6667665
189,6318640,5533585
190,6318640,4109857
191,6318640,5102497
192,6318640,3841057
193,6318640,5053473
194,6318640,6139633
195,6318640,4841457
196,6318640,5851873
197,6318640,4362321
198,6318640,2598917
199,6318640,2555649
200,6318640,938229
201,6318640,1910919
202,6318640,7123137
203,6318640,4700849
204,6318640,6667665
205,6318640,5533585
206,6318640,4109857
207,6318640,5102497
208,6318640,3841057
209,6318640,5053473
210,6318640,6139633
211,6318640,4841457
212,6318640,5851873
213,6318640,4362321
214,6318640,2598917
215,6318640,2555649
216,6318640,938229
217,6318640,1910919
218,6318640,7123137
219,6318640,4700849
220,6318640,6667665
221,6318640,5533585
222,6318640,4109857
223,6318640,5102497
224,6318640,3841057
225,6318640,5053473
226,6318640,6139633
227,6318640,4841457
228,6318640,5851873
229,6318640,4362321
230,6318640,2598917
231,6318640,2555649
232,6318640,938229
233,6318640,1910919
234,6318640,7123137
235,6318640,4700849
236,6318640,6667665
237,6318640,5533585
238,6318640,4109857
239,6318640,5102497
240,6318640,3841057
241,6318640,5053473
242,6318640,6139633
243,6318640,4841457
244,6318640,5851873
245,6318640,4362321
246,6318640,2598917
247,6318640,2555649
248,6318640,938229
249,6318640,1910919
250,6318640,7123137
251,6318640,4700849
252,6318640,6667665
253,6318640,5533585
254,6318640,4109857
255,6318640,5102497
256,6318640,3841057
257,6318640,5053473
258,6318640,6139633
259,6318640,4841457
260,6318640,5851873
261,6318640,4362321
262,6318640,2598917
263,6318640,2555649
264,6318640,938229
265,6318640,1910919
266,6318640,7123137
267,6318640,4700849
268,6318640,6667665
269,6318640,5533585
