seed,lambda,mu
0,463360,2218727
1,847056,123966
2,463360,23729
3,151952,833245
4,463360,56859
5,151952,14360
6,847056,108963
7,463360,1489927
8,463360,1348471
9,847056,40025
10,463360,2076151
11,847056,277011
12,151952,510173
13,847056,389400
14,847056,198339
15,463360,1364615
16,463360,2218727
17,847056,123966
18,463360,23729
19,151952,833245
20,463360,56859
21,151952,14360
22,847056,108963
23,463360,1489927
24,463360,1348471
25,847056,40025
26,463360,2076151
27,847056,277011
28,151952,510173
29,847056,389400
30,847056,198339
31,463360,1364615
32,463360,2218727
33,847056,123966
34,463360,23729
35,151952,833245
36,463360,56859
37,151952,14360
38,847056,108963
39,463360,1489927
40,463360,1348471
41,847056,40025
42,463360,2076151
43,847056,277011
44,151952,510173
45,847056,389400
46,847056,198339
47,463360,1364615
48,463360,2218727
49,847056,123966
