seed,lambda,mu
0,412672,1067860
1,990464,1996874
2,990464,1827402
3,412672,1202772
4,990464,3340106
5,990464,3073354
6,990464,4241482
7,990464,1124682
8,990464,4254282
9,990464,1046858
10,412672,318548
11,990464,3149386
12,83200,864883
13,990464,159592
14,990464,3964746
15,990464,2371402
16,412672,509524
17,164864,240017
18,412672,443476
19,990464,3936074
20,990464,4683338
21,990464,3095626
22,83200,989811
23,990464,3903818
24,990464,2888010
25,990464,2045514
26,259328,52439
27,990464,4180042
28,990464,2068298
29,164864,422545
30,990464,1726282
31,990464,570408
32,990464,4646474
33,990464,3700554
34,990464,2982730
35,990464,784202
36,990464,297576
37,990464,1582666
38,83200,703859
39,990464,1302090
40,990464,3778122
41,990464,368192
42,990464,1793866
43,990464,4053834
44,990464,2855754
45,83200,1051507
46,990464,515624
47,990464,1271626
48,990464,4291914
49,990464,119934
50,990464,3483210
51,990464,3545674
52,990464,1264831
53,990464,3712842
54,990464,3403338
55,990464,4281674
56,990464,3377226
57,990464,4435018
58,990464,1202506
59,990464,3926858
60,990464,4255306
61,990464,1861962
62,990464,2530890
63,990464,3664970
64,990464,2041674
65,990464,4796746
66,990464,2541642
67,990464,4011082
68,990464,1089983
69,990464,4548682
70,990464,83541
71,990464,1516106
72,990464,3970634
73,990464,776639
74,990464,1859658
75,412672,900436
76,990464,2202186
77,164864,421521
78,990464,2107210
79,990464,4026698
80,164864,255633
81,990464,4176202
82,990464,2234442
83,412672,421972
84,412672,90276
85,990464,961354
86,990464,4575562
87,990464,4142410
88,990464,3678282
89,83200,1336947
90,990464,2194506
91,990464,1892426
92,990464,4319306
93,990464,1270602
94,412672,237290
95,990464,4444234
96,990464,2198858
97,412672,1131092
98,990464,4511050
99,990464,1372490
