seed,lambda,mu
0,21952,6183
1,21952,40232
2,18176,26016
3,21952,23624
4,18176,6841
5,3200,74515
6,21952,5527
7,3200,18655
8,21952,59432
9,21952,30488
10,21952,55064
11,3200,14415
12,21952,17768
13,21952,7656
14,3200,61619
15,3200,30911
16,21952,6183
17,21952,40232
18,18176,26016
19,21952,23624
20,18176,6841
21,3200,74515
22,21952,5527
23,3200,18655
24,21952,59432
25,21952,30488
26,21952,55064
27,3200,14415
28,21952,17768
29,21952,7656
30,3200,61619
31,3200,30911
32,21952,6183
33,21952,40232
34,18176,26016
35,21952,23624
36,18176,6841
37,3200,74515
38,21952,5527
39,3200,18655
40,21952,59432
41,21952,30488
42,21952,55064
43,3200,14415
44,21952,17768
45,21952,7656
46,3200,61619
47,3200,30911
48,21952,6183
49,21952,40232
