seed,lambda,mu
0,14876672,12495363
1,14876672,14618180
2,17760256,385496
3,14876672,10620484
4,14876672,3083844
5,14876672,7850308
6,16187392,22337536
7,14876672,4228917
8,14876672,7055875
9,14876672,9153027
10,17760256,743250
11,14876672,3058179
12,16187392,800239
13,14876672,19621670
14,14876672,5901892
15,16187392,3625623
16,14876672,608251
17,17760256,8429484
18,14876672,8523332
19,14876672,1915306
20,17760256,6078578
21,14876672,4984388
22,14876672,7278148
23,14876672,1480045
24,14876672,16689667
25,14876672,9153027
26,14876672,4893187
27,14876672,9201446
28,17760256,5021612
29,14876672,6032964
30,14876672,2983733
31,17760256,9478060
32,14876672,1730342
33,14876672,8497667
34,14876672,10070531
35,16187392,1921687
36,16187392,12769280
37,16187392,13162496
38,16187392,22861824
39,14876672,6801732
40,17760256,4693932
41,14876672,3844611
42,17760256,5087148
43,14876672,13740547
44,17760256,1388797
45,14876672,4565507
46,14876672,8588868
47,14876672,10030660
48,14876672,16296451
49,14876672,21630532
50,14876672,13002534
51,14876672,21587750
52,14876672,12626435
53,17760256,4440178
54,14876672,4941606
55,14876672,10594819
56,17760256,4562860
57,16187392,278076
58,14876672,2852661
59,14876672,9873923
60,14876672,3303206
61,14876672,9571908
62,17760256,842100
63,16187392,12638208
64,14876672,11537988
65,17760256,2961661
66,14876672,265805
67,14876672,9440836
68,14876672,7457092
69,14876672,1804085
70,14876672,7580163
71,14876672,10267139
72,14876672,5203750
73,16187392,9361408
74,14876672,13937155
75,16187392,22140928
76,14876672,9480707
77,14876672,6670660
78,16187392,1748884
79,14876672,1456171
80,16187392,7723008
81,14876672,8759811
82,16187392,20961280
83,14876672,3542596
84,14876672,16607014
85,14876672,15230758
86,14876672,8440132
87,17760256,605855
88,16187392,13621248
89,17760256,3579820
90,14876672,13461286
91,14876672,5015349
92,14876672,9834052
93,14876672,2468355
94,14876672,12298755
95,14876672,10332675
96,14876672,14093892
97,14876672,6662659
98,14876672,2713382
99,17760256,13730
100,14876672,3704629
101,14876672,13347331
102,14876672,1653162
103,14876672,9677315
104,17760256,8110194
105,14876672,3291562
106,14876672,4106755
107,14876672,17174084
108,14876672,24143654
109,14876672,12150566
110,16187392,18077696
111,14876672,15706627
112,14876672,4376900
113,14876672,4853316
114,14876672,12674854
115,14876672,7449091
116,14876672,10856963
117,14876672,17345027
118,14876672,13395750
119,14876672,2796035
120,14876672,11341380
121,17760256,1192189
122,14876672,11774467
123,14876672,6426180
124,14876672,6229572
125,17760256,4956076
